test Loss:0.3365  Acc:0.8958

Epoch: 82/100 | Loss:0.2824 | Acc:0.9005 | LR:0.001545
Epoch: 83/100 | Loss:0.2781 | Acc:0.9037 | LR:0.001386
Epoch: 84/100 | Loss:0.2684 | Acc:0.9063 | LR:0.001234
Epoch: 85/100 | Loss:0.2647 | Acc:0.9067 | LR:0.001091
Epoch: 86/100 | Loss:0.2595 | Acc:0.9085 | LR:0.000955
Epoch: 87/100 | Loss:0.2611 | Acc:0.9078 | LR:0.000827
Epoch: 88/100 | Loss:0.2472 | Acc:0.9133 | LR:0.000708
Epoch: 89/100 | Loss:0.2486 | Acc:0.9128 | LR:0.000597
Epoch: 90/100 | Loss:0.2414 | Acc:0.9149 | LR:0.000495
Epoch: 91/100 | Loss:0.2435 | Acc:0.9138 | LR:0.000402
Epoch: 92/100 | Loss:0.2410 | Acc:0.9150 | LR:0.000319
Epoch: 93/100 | Loss:0.2360 | Acc:0.9162 | LR:0.000245
Epoch: 94/100 | Loss:0.2330 | Acc:0.9178 | LR:0.000180
Epoch: 95/100 | Loss:0.2319 | Acc:0.9189 | LR:0.000125
Epoch: 96/100 | Loss:0.2303 | Acc:0.9199 | LR:0.000080
Epoch: 97/100 | Loss:0.2287 | Acc:0.9201 | LR:0.000045
Epoch: 98/100 | Loss:0.2315 | Acc:0.9184 | LR:0.000020
Epoch: 99/100 | Loss:0.2339 | Acc:0.9188 | LR:0.000005
Epoch:100/100 | Loss:0.2266 | Acc:0.9210 | LR:0.000000
